kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
matmul 4x64x24xf64,1.00,,0.99,,
matmul 4x64x28xf64,1.00,,1.00,,
matmul 4x64x32xf64,1.00,,1.00,,
matmul 4x64x36xf64,1.00,,1.00,,
matmul 4x64x40xf64,1.00,,1.00,,
matmul 4x64x44xf64,1.00,,1.00,,
matmul 4x64x48xf64,1.00,,1.00,,
matmul 4x64x4xf64,0.97,,0.96,,
matmul 4x64x52xf64,1.00,,1.00,,
matmul 4x64x56xf64,1.00,,1.00,,
matmul 4x64x60xf64,1.00,,1.00,,
matmul 4x64x64xf64,1.00,,1.00,,
matmul 4x64x8xf64,0.99,,0.97,,
matmul 4x8x12xf64,0.55,,0.92,,
matmul 4x8x16xf64,0.55,,0.94,,
matmul 4x8x20xf64,0.55,,0.96,,
matmul 4x8x24xf64,0.55,,0.97,,
matmul 4x8x28xf64,0.55,,0.97,,
matmul 4x8x32xf64,0.55,,0.98,,
matmul 4x8x36xf64,0.55,,0.98,,
matmul 4x8x40xf64,0.55,,0.99,,
matmul 4x8x44xf64,0.55,,0.99,,
matmul 4x8x48xf64,0.55,,0.99,,
matmul 4x8x4xf64,0.47,,0.77,,
matmul 4x8x52xf64,0.61,,0.99,,
matmul 4x8x56xf64,0.61,,1.00,,
matmul 4x8x60xf64,0.61,,1.00,,
matmul 4x8x64xf64,0.55,,1.00,,
