kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
matmul 4x8x56xf64,10325,,2372,,
matmul 4x8x60xf64,11061,,2555,,
matmul 4x8x64xf64,11805,,2757,,
matmul 4x8x8xf64,1504,,412,,
matmul 8x12x12xf64,6505,,1443,,
matmul 8x12x16xf64,8651,,1932,,
matmul 8x12x20xf64,10795,,2372,,
matmul 8x12x24xf64,12939,,2821,,
matmul 8x12x28xf64,15083,,3268,,
matmul 8x12x32xf64,17245,,3782,,
matmul 8x12x36xf64,19387,,4203,,
matmul 8x12x40xf64,21518,,4677,,
matmul 8x12x44xf64,23656,,5173,,
matmul 8x12x48xf64,25800,,5579,,
matmul 8x12x4xf64,2164,,520,,
matmul 8x12x52xf64,27944,,6101,,
matmul 8x12x56xf64,30088,,6468,,
matmul 8x12x60xf64,32232,,6949,,
matmul 8x12x64xf64,34376,,7493,,
matmul 8x12x8xf64,4356,,1004,,
matmul 8x16x12xf64,8528,,1827,,
matmul 8x16x16xf64,11344,,2444,,
matmul 8x16x20xf64,14160,,3013,,
matmul 8x16x24xf64,16992,,3595,,
matmul 8x16x28xf64,19808,,4164,,
matmul 8x16x32xf64,22609,,4805,,
matmul 8x16x36xf64,25425,,5355,,
matmul 8x16x40xf64,28255,,5957,,
matmul 8x16x44xf64,31072,,6582,,
matmul 8x16x48xf64,33888,,7109,,
matmul 8x16x4xf64,2836,,648,,
matmul 8x16x52xf64,36699,,7766,,
matmul 8x16x56xf64,39515,,8260,,
matmul 8x16x60xf64,42331,,8869,,
matmul 8x16x64xf64,45149,,9541,,
matmul 8x16x8xf64,5718,,1260,,
matmul 8x20x12xf64,10622,,2211,,
matmul 8x20x16xf64,14138,,2950,,
matmul 8x20x20xf64,17589,,3653,,
matmul 8x20x24xf64,21086,,4357,,
matmul 8x20x28xf64,24591,,5060,,
matmul 8x20x32xf64,28128,,5830,,
matmul 8x20x36xf64,31617,,6501,,
matmul 8x20x40xf64,35102,,7237,,
matmul 8x20x44xf64,38598,,7990,,
matmul 8x20x48xf64,42086,,8645,,
matmul 8x20x4xf64,3646,,776,,
matmul 8x20x52xf64,45699,,9430,,
matmul 8x20x56xf64,49187,,10059,,
matmul 8x20x60xf64,52675,,10789,,
matmul 8x20x64xf64,56211,,11589,,
matmul 8x20x8xf64,7134,,1516,,
matmul 8x24x12xf64,12749,,2597,,
matmul 8x24x16xf64,16926,,3462,,
