kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
matmul 4x60x12xf64,0.14,,0.95,,
matmul 4x60x16xf64,0.14,,0.96,,
matmul 4x60x20xf64,0.14,,0.97,,
matmul 4x60x24xf64,0.14,,0.97,,
matmul 4x60x28xf64,0.14,,0.98,,
matmul 4x60x32xf64,0.14,,0.98,,
matmul 4x60x36xf64,0.14,,0.98,,
matmul 4x60x40xf64,0.14,,0.98,,
matmul 4x60x44xf64,0.14,,0.98,,
matmul 4x60x48xf64,0.14,,0.98,,
matmul 4x60x4xf64,0.14,,0.89,,
matmul 4x60x52xf64,0.14,,0.98,,
matmul 4x60x56xf64,0.14,,0.98,,
matmul 4x60x60xf64,0.14,,0.98,,
matmul 4x60x64xf64,0.14,,0.98,,
matmul 4x60x8xf64,0.14,,0.94,,
matmul 4x64x12xf64,0.14,,0.96,,
matmul 4x64x16xf64,0.14,,0.96,,
matmul 4x64x20xf64,0.14,,0.97,,
matmul 4x64x24xf64,0.14,,0.97,,
matmul 4x64x28xf64,0.14,,0.98,,
matmul 4x64x32xf64,0.14,,0.98,,
matmul 4x64x36xf64,0.14,,0.98,,
matmul 4x64x40xf64,0.14,,0.98,,
matmul 4x64x44xf64,0.14,,0.98,,
matmul 4x64x48xf64,0.14,,0.98,,
matmul 4x64x4xf64,0.14,,0.91,,
matmul 4x64x52xf64,0.14,,0.98,,
matmul 4x64x56xf64,0.14,,0.98,,
matmul 4x64x60xf64,0.14,,0.99,,
matmul 4x64x64xf64,0.14,,0.99,,
matmul 4x64x8xf64,0.14,,0.94,,
matmul 4x8x12xf64,0.20,,0.78,,
matmul 4x8x16xf64,0.20,,0.81,,
matmul 4x8x20xf64,0.20,,0.84,,
matmul 4x8x24xf64,0.21,,0.86,,
matmul 4x8x28xf64,0.21,,0.87,,
matmul 4x8x32xf64,0.21,,0.88,,
matmul 4x8x36xf64,0.21,,0.88,,
matmul 4x8x40xf64,0.21,,0.89,,
matmul 4x8x44xf64,0.21,,0.90,,
matmul 4x8x48xf64,0.21,,0.90,,
matmul 4x8x4xf64,0.17,,0.58,,
matmul 4x8x52xf64,0.21,,0.90,,
matmul 4x8x56xf64,0.21,,0.91,,
matmul 4x8x60xf64,0.21,,0.91,,
matmul 4x8x64xf64,0.21,,0.91,,
